kk_id,kk_name,year,f_comm,teainc,lteainc,f_prot1885,provinzkey,f_prot,f_rw,f_young,f_over60,f_fem,f_ortsgeb,f_urban,sample_bal,daylab_urb,ldaylab_urb
13059,Lesum,1896,,1397.019,7.242096,0.9782794,8,,,,,,,,0,,
13059,Lesum,1901,0.5125046,1768.711,7.478006,0.9782794,8,,,,,,,,0,2.5,0.9162908
13059,Lesum,1906,0.4657962,1888.144,7.54335,0.9782794,8,,,,,,,,0,,
13059,Lesum,1911,0.3893072,1953.547,7.577402,0.9782794,8,,,,,,,,0,,
13062,Loccum-Stolzenau,1886,0.9355547,1158.861,7.055193,0.9883717,,,,,,,,,0,,
13062,Loccum-Stolzenau,1891,,1199.464,7.08963,0.9883717,,,,,,,,,0,,
13062,Loccum-Stolzenau,1896,0.9165428,1279.083,7.153899,0.9883717,,,,,,,,,0,,
13062,Loccum-Stolzenau,1901,0.9220943,1618.541,7.38928,0.9883717,,,,,,,,,0,,
13062,Loccum-Stolzenau,1906,0.8740876,1617.128,7.388407,0.9883717,,,,,,,,,0,,
13062,Loccum-Stolzenau,1911,0.8789912,1619.718,7.390007,0.9883717,,,,,,,,,0,,
13063,Luechow,1886,0.8808134,1236.839,7.120315,0.9952507,,,,,,,,,1,,
13063,Luechow,1891,0.8940108,1318.623,7.184343,0.9952507,,,,,,,,,1,,
13063,Luechow,1896,0.9378777,1418.757,7.257536,0.9952507,,,,,,,,,1,,
13063,Luechow,1901,0.979351,1780.297,7.484536,0.9952507,,,,,,,,,1,,
13063,Luechow,1906,0.9850701,1830.75,7.512481,0.9952507,,,,,,,,,1,,
13063,Luechow,1911,0.9839368,1812.7,7.502573,0.9952507,,,,,,,,,1,,
13065,Lueneburg,1886,,1378.508,7.228757,0.9771065,,,,,,,,,0,,
13065,Lueneburg,1891,0.2630603,1517.691,7.324945,0.9771065,,,,,,,,,0,,
13065,Lueneburg,1896,0.265739,1657.057,7.412798,0.9771065,,,,,,,,,0,,
13065,Lueneburg,1901,0.3177246,2023.571,7.612619,0.9771065,,,,,,,,,0,,
13065,Lueneburg,1906,0.2695321,2106.88,7.652964,0.9771065,,,,,,,,,0,,
13065,Lueneburg,1911,0.2362486,2002.891,7.602347,0.9771065,,,,,,,,,0,,
13067,Meppen,1886,0.3628711,1098.59,7.001783,0.3125676,8,0.2555402,0.9545075,0.2239475,0.101898,0.5017412,0.676646,0.2016342,0,,
13067,Meppen,1891,,1139.712,7.03853,0.3125676,8,,,,,,,,0,1.67,0.5128237
13067,Meppen,1896,0.4066513,1290.317,7.162643,0.3125676,8,,,,,,,,0,,
13067,Meppen,1901,,1585.527,7.368672,0.3125676,8,,,,,,,,0,1.85,0.6151856
13067,Meppen,1906,0.3382054,1650.66,7.40893,0.3125676,8,,,,,,,,0,,
13067,Meppen,1911,0.3418373,1800.308,7.495713,0.3125676,8,,,,,,,,0,,
13070,Neuhaus a. d. Oste,1886,0.4858972,1140.71,7.039406,0.993538,8,0.9957533,0.9174582,0.2524445,0.0995181,0.5029263,0.6153023,0.0557062,0,,
13070,Neuhaus a. d. Oste,1891,0.5117561,1131.536,7.031331,0.993538,8,,,,,,,,0,2,0.6931472
13070,Neuhaus a. d. Oste,1896,,1273.095,7.149206,0.993538,8,,,,,,,,0,,
13070,Neuhaus a. d. Oste,1901,,1686.568,7.430451,0.993538,8,,,,,,,,0,2.1,0.7419373
13070,Neuhaus a. d. Oste,1906,0.484247,1716.923,7.448289,0.993538,8,,,,,,,,0,,
13070,Neuhaus a. d. Oste,1911,0.5112695,1708.652,7.44346,0.993538,8,,,,,,,,0,,
13071,Neustadt a. Rbge.,1886,0.7817642,1180.196,7.073436,0.9863163,,,,,,,,,1,,
13071,Neustadt a. Rbge.,1891,0.8091093,1277.786,7.152884,0.9863163,,,,,,,,,1,,
13071,Neustadt a. Rbge.,1896,0.7813498,1315.699,7.182123,0.9863163,,,,,,,,,1,,
13071,Neustadt a. Rbge.,1901,0.8124966,1913.244,7.556556,0.9863163,,,,,,,,,1,,
13071,Neustadt a. Rbge.,1906,0.8040525,1941.267,7.571096,0.9863163,,,,,,,,,1,,
13071,Neustadt a. Rbge.,1911,0.782734,1873.845,7.535748,0.9863163,,,,,,,,,1,,
13072,Nienburg,1886,0.8026615,1306.055,7.174766,0.9776366,8,0.9855427,0.959492,0.2480599,0.0826093,0.5162694,0.705909,0.2478235,1,,
13072,Nienburg,1891,0.7864383,1261.445,7.140013,0.9776366,8,,,,,,,,1,1.69,0.5247285
13072,Nienburg,1896,0.7587615,1391.014,7.237788,0.9776366,8,,,,,,,,1,,
13072,Nienburg,1901,0.7460188,1823.455,7.508488,0.9776366,8,,,,,,,,1,1.85,0.6151857
13072,Nienburg,1906,0.7675912,1751.817,7.468409,0.9776366,8,,,,,,,,1,,
13072,Nienburg,1911,0.7241453,1720.203,7.450197,0.9776366,8,,,,,,,,1,,
13073,Norden,1886,0.1185895,1427.615,7.263761,0.9674817,,,,,,,,,1,,
13073,Norden,1891,0.1132112,1530.822,7.33356,0.9674817,,,,,,,,,1,,
13073,Norden,1896,0.1105142,1527.099,7.331125,0.9674817,,,,,,,,,1,,
13073,Norden,1901,0.1124087,1819.505,7.50632,0.9674817,,,,,,,,,1,,
13073,Norden,1906,0.1160774,1941.275,7.5711,0.9674817,,,,,,,,,1,,
13073,Norden,1911,0.106306,1888.491,7.543533,0.9674817,,,,,,,,,1,,
13075,Osnabrueck,1886,,1494.736,7.309705,0.6010305,,,,,,,,,0,,
13075,Osnabrueck,1891,,1506.135,7.317302,0.6010305,,,,,,,,,0,,
13075,Osnabrueck,1896,0.1829518,1652.059,7.409778,0.6010305,,,,,,,,,0,,
13075,Osnabrueck,1901,0.1462908,2037.036,7.619251,0.6010305,,,,,,,,,0,,
13075,Osnabrueck,1906,,2280.758,7.732263,0.6010305,,,,,,,,,0,,
13075,Osnabrueck,1911,,2097.219,7.648367,0.6010305,,,,,,,,,0,,
13077,Osterode a. Harz,1886,0.4400869,1210.553,7.098833,0.980116,8,0.6317215,0.9221615,0.2486845,0.0821486,0.5369742,0.8115017,0.2626024,1,,
13077,Osterode a. Harz,1891,0.4309987,1209.839,7.098243,0.980116,8,,,,,,,,1,1.585,0.4605844
13077,Osterode a. Harz,1896,0.4202724,1336.908,7.198115,0.980116,8,,,,,,,,1,,
13077,Osterode a. Harz,1901,0.4088198,1750.223,7.467499,0.980116,8,,,,,,,,1,2,0.6931472
13077,Osterode a. Harz,1906,0.4059566,1807.223,7.499547,0.980116,8,,,,,,,,1,,
13077,Osterode a. Harz,1911,0.3668308,1911.398,7.555591,0.980116,8,,,,,,,,1,,
13082,Peine,1886,,1242.997,7.12528,0.9272925,,,,,,,,,0,,
13082,Peine,1891,,1322.156,7.187019,0.9272925,,,,,,,,,0,,
13082,Peine,1896,0.5203488,1377.58,7.228084,0.9272925,,,,,,,,,0,,
13082,Peine,1901,0.4973584,1799.099,7.495041,0.9272925,,,,,,,,,0,,
